input,output,time
13,879,65.31
13,882,65.355
13,883,65.4
13,886,65.445
13,887,65.49
211,876,65.52
211,880,65.565
211,425,65.61
211,398,65.655
211,389,65.7
211,381,65.745
211,379,65.775
211,379,65.82
211,376,65.865
211,372,65.91
211,371,65.955
211,369,66.0
211,380,66.045
211,369,66.075
211,372,66.12
211,369,66.165
211,368,66.21
211,366,66.255
211,377,66.3
211,389,66.345
211,384,66.39
211,369,66.42
211,367,66.465
211,362,66.51
160,379,66.555
160,389,66.6
160,452,66.645
160,440,66.69
160,407,66.72
160,416,66.765
160,425,66.81
160,439,66.855
160,447,66.9
160,440,66.945
160,433,66.99
160,447,67.02
160,424,67.065
160,436,67.11
160,446,67.155
160,443,67.2
160,432,67.245
160,424,67.29
160,419,67.335
160,435,67.365
160,444,67.41
160,449,67.455
160,437,67.5
160,427,67.545
178,415,67.59
178,416,67.635
178,396,67.68
178,420,67.71
178,414,67.755
178,405,67.8
178,400,67.845
178,398,67.89
178,396,67.935
178,393,67.98
178,414,68.01
178,405,68.055
178,401,68.1
178,400,68.145
178,396,68.19
178,394,68.235
178,391,68.28
178,408,68.31
178,402,68.355
178,400,68.4
178,397,68.445
178,395,68.49
178,392,68.535
178,389,68.58
15,387,68.61
15,398,68.655
15,819,68.7
15,852,68.745
15,865,68.79
15,883,68.82
15,885,68.865
15,852,68.91
15,866,68.955
15,871,69.0
15,886,69.03
15,888,69.075
15,895,69.12
15,856,69.165
15,887,69.195
15,884,69.24
15,884,69.285
15,887,69.33
15,888,69.375
15,886,69.42
15,881,69.45
15,883,69.495
15,883,69.54
15,884,69.585
154,895,69.63
154,878,69.66
154,503,69.705
154,484,69.75
154,481,69.795
154,461,69.84
154,447,69.885
154,437,69.93
154,443,69.96
154,456,70.005
154,467,70.05
154,452,70.095
154,441,70.14
154,431,70.185
154,424,70.23
154,422,70.275
154,416,70.32
154,452,70.35
154,439,70.395
154,430,70.44
154,424,70.485
154,421,70.53
154,416,70.575
154,415,70.62
233,428,70.65
233,430,70.695
233,358,70.74
233,357,70.785
233,356,70.83
233,355,70.875
233,354,70.92
233,347,70.965
233,355,70.995
233,357,71.04
233,356,71.085
233,355,71.13
233,355,71.175
233,357,71.22
233,354,71.265
233,364,71.31
233,357,71.34
233,355,71.385
233,355,71.43
233,357,71.475
233,352,71.52
233,366,71.565
233,361,71.61
126,354,71.655
126,356,71.685
126,463,71.73
126,478,71.775
126,487,71.82
126,496,71.865
126,494,71.925
126,458,71.955
126,469,72.0
126,476,72.03
126,486,72.075
126,494,72.12
126,501,72.165
126,454,72.21
126,465,72.255
126,478,72.3
126,483,72.33
126,493,72.375
126,500,72.42
126,453,72.465
126,463,72.51
126,475,72.555
126,486,72.6
126,491,72.63
200,500,72.675
200,487,72.735
200,373,72.765
200,381,72.81
200,392,72.855
200,399,72.9
200,394,72.945
200,388,72.975
200,368,73.02
200,377,73.065
200,392,73.11
200,403,73.155
200,393,73.2
200,388,73.245
200,384,73.29
200,389,73.32
200,388,73.365
200,402,73.41
200,395,73.455
200,389,73.5
200,385,73.545
200,383,73.59
200,380,73.62
200,402,73.665
14,393,73.71
14,390,73.755
14,850,73.8
14,890,73.845
14,882,73.875
14,890,73.92
14,892,73.965
14,896,74.01
14,897,74.055
14,897,74.085
14,892,74.13
14,894,74.175
14,895,74.22
14,896,74.265
14,884,74.295
14,899,74.34
14,890,74.385
14,893,74.43
14,894,74.475
14,895,74.52
14,896,74.55
14,897,74.595
14,870,74.655
14,892,74.685
30,894,74.73
30,893,74.76
30,820,74.805
30,820,74.85
30,796,74.895
30,792,74.94
30,795,74.97
30,791,75.015
30,793,75.06
30,799,75.105
30,789,75.15
30,786,75.18
30,784,75.225
30,785,75.27
30,787,75.315
30,787,75.36
30,781,75.39
30,773,75.435
30,780,75.48
30,780,75.525
30,783,75.57
30,778,75.6
30,764,75.645
30,770,75.69
19,780,75.735
19,775,75.78
19,812,75.81
19,824,75.855
19,830,75.9
19,834,75.945
19,838,75.99
19,822,76.02
19,824,76.065
19,829,76.11
19,833,76.155
19,835,76.2
19,811,76.23
