Temperatura,Umidade,Analogico,Hora
45.9,38.0,4095.0,18.17284655570984
45.9,38.0,4095.0,18.252546787261963
45.9,38.0,4095.0,18.332231521606445
45.9,38.0,4095.0,18.413214921951294
45.9,38.0,4095.0,18.49317741394043
45.9,38.0,4095.0,18.572298049926758
45.9,38.0,4095.0,18.6527361869812
45.9,38.0,4095.0,18.73311710357666
45.9,38.0,4095.0,18.81322455406189
45.9,38.0,4095.0,18.89328622817993
45.9,38.0,4095.0,18.972584009170532
45.9,39.0,4095.0,19.078269004821777
45.9,39.0,4095.0,19.158312797546387
45.9,39.0,4095.0,19.237130641937256
45.9,39.0,4095.0,19.318106412887573
45.9,39.0,4095.0,19.39828586578369
45.9,39.0,4095.0,19.4781596660614
45.9,39.0,4095.0,19.55821466445923
45.9,39.0,4095.0,19.637078523635864
45.9,39.0,4095.0,19.717816591262817
45.9,39.0,4095.0,19.798325061798096
45.9,39.0,4095.0,19.87817406654358
45.9,39.0,4095.0,19.957377195358276
45.9,39.0,4095.0,20.03736114501953
45.9,39.0,4095.0,20.11803388595581
45.9,39.0,4095.0,20.19824528694153
45.9,39.0,4095.0,20.278237104415894
45.9,39.0,4095.0,20.358265161514282
45.9,39.0,4095.0,20.437512636184692
45.9,39.0,4095.0,20.518282413482666
45.9,39.0,4095.0,20.59792423248291
45.9,39.0,4095.0,20.677823305130005
45.9,39.0,4095.0,20.757790088653564
45.9,39.0,4095.0,20.8375825881958
45.9,39.0,4095.0,20.918129920959473
45.9,39.0,4095.0,20.99813723564148
45.9,39.0,4095.0,21.102659940719604
45.9,39.0,4095.0,21.182713508605957
45.9,39.0,4095.0,21.263253927230835
45.9,39.0,4095.0,21.343316078186035
45.9,39.0,4095.0,21.422842979431152
45.9,39.0,4095.0,21.50303554534912
45.9,39.0,4095.0,21.583239793777466
45.9,39.0,4095.0,21.66328191757202
45.9,39.0,4095.0,21.743186235427856
45.9,39.0,4095.0,21.822412252426147
45.9,39.0,4095.0,21.902880430221558
45.9,39.0,4095.0,21.983238220214844
45.9,39.0,4095.0,22.063076972961426
45.9,39.0,4095.0,22.14326238632202
45.9,39.0,4095.0,22.22286033630371
45.9,39.0,4095.0,22.30299735069275
45.9,39.0,4095.0,22.38308024406433
45.9,39.0,4095.0,22.463292598724365
45.9,39.0,4095.0,22.54327130317688
45.9,39.0,4095.0,22.622862339019775
45.9,39.0,4095.0,22.70310139656067
45.9,39.0,4095.0,22.783226490020752
45.9,39.0,4095.0,22.863106727600098
45.9,39.0,4095.0,22.942960739135742
45.9,39.0,4095.0,23.02276921272278
45.9,39.0,4095.0,23.12824320793152
45.9,39.0,4095.0,23.2071852684021
45.9,39.0,4095.0,23.28735899925232
45.9,39.0,4095.0,23.368144750595093
45.9,39.0,3920.0,23.44763684272766
45.9,39.0,3985.0,23.528391361236572
45.9,39.0,3874.0,23.608356475830078
45.9,39.0,3779.0,23.68765878677368
45.9,39.0,3630.0,23.768266439437866
45.9,39.0,3482.0,23.848273038864136
45.9,39.0,3344.0,23.928147077560425
45.9,39.0,3213.0,24.008193016052246
45.9,39.0,3083.0,24.087225437164307
45.9,39.0,2957.0,24.168123483657837
45.9,39.0,2835.0,24.248348474502563
45.9,39.0,2729.0,24.32834243774414
45.9,39.0,2618.0,24.407691955566406
45.9,39.0,2517.0,24.487858772277832
45.9,39.0,2427.0,24.568350076675415
45.9,39.0,2269.0,24.648330450057983
45.9,39.0,2263.0,24.728296995162964
45.9,39.0,2192.0,24.808274745941162
45.9,39.0,2128.0,24.88822650909424
45.9,39.0,2066.0,24.968106508255005
45.9,39.0,2002.0,25.048198223114014
45.8,39.0,1954.0,25.15287709236145
45.8,39.0,1891.0,25.23318362236023
45.8,39.0,1838.0,25.313300848007202
45.8,39.0,1813.0,25.392645120620728
45.8,39.0,1876.0,25.472744464874268
45.8,39.0,1743.0,25.552813053131104
45.8,39.0,1712.0,25.63321542739868
45.8,39.0,1683.0,25.713263750076294
45.8,39.0,1660.0,25.793235063552856
45.8,39.0,1639.0,25.873130321502686
45.8,39.0,1616.0,25.9532949924469
45.8,39.0,1591.0,26.03317928314209
45.8,39.0,1571.0,26.11314296722412
45.8,39.0,1553.0,26.193426847457886
45.8,39.0,1530.0,26.272842168807983
45.8,39.0,1530.0,26.352938413619995
45.8,39.0,1478.0,26.433114051818848
45.8,39.0,1466.0,26.51326560974121
45.8,39.0,1474.0,26.59320831298828
45.8,39.0,1465.0,26.672768115997314
45.8,39.0,1454.0,26.753401517868042
45.8,39.0,1441.0,26.83341383934021
45.8,39.0,1429.0,26.91324806213379
45.8,39.0,1424.0,26.993107318878174
45.8,39.0,1406.0,27.07273578643799
45.9,39.0,1406.0,27.178273677825928
45.9,39.0,1403.0,27.25797200202942
45.9,39.0,1390.0,27.33778190612793
45.9,39.0,1377.0,27.418285608291626
